state,county,candidate,party,votes
Arkansas,Cleburne County,Donald Trump,REP,10292
Arkansas,Cleburne County,Joe Biden,DEM,1962
Arkansas,Cleburne County,Jo Jorgensen,LIB,105
Arkansas,Cleburne County,Phil Collins,PRO,74
Arkansas,Cleburne County,Don Blankenship,CST,57
Arkansas,Cleburne County,Kanye West,IND,29
Arkansas,Cleburne County,Brian Carroll,ASP,26
Arkansas,Cleburne County,Connie Gammon,IND,24
Arkansas,Cleburne County,John Richard Myers,LLP,19
Arkansas,Cleburne County,Howie Hawkins,GRN,10
Arkansas,Cleburne County,Brock Pierce,IND,10
Arkansas,Cleburne County,Rocky De La Fuente,ALI,7
Arkansas,Cleburne County,Gloria La Riva,PSL,2
Arkansas,Cleveland County,Donald Trump,REP,2857
Arkansas,Cleveland County,Joe Biden,DEM,649
Arkansas,Cleveland County,Jo Jorgensen,LIB,27
Arkansas,Cleveland County,Brock Pierce,IND,11
Arkansas,Cleveland County,Phil Collins,PRO,8
Arkansas,Cleveland County,Howie Hawkins,GRN,8
Arkansas,Cleveland County,John Richard Myers,LLP,8
Arkansas,Cleveland County,Don Blankenship,CST,5
Arkansas,Cleveland County,Rocky De La Fuente,ALI,5
Arkansas,Cleveland County,Kanye West,IND,5
Arkansas,Cleveland County,Brian Carroll,ASP,2
Arkansas,Cleveland County,Connie Gammon,IND,2
Arkansas,Cleveland County,Gloria La Riva,PSL,1
Arkansas,Columbia County,Donald Trump,REP,5469
Arkansas,Columbia County,Joe Biden,DEM,2781
Arkansas,Columbia County,Howie Hawkins,GRN,71
Arkansas,Columbia County,Jo Jorgensen,LIB,53
Arkansas,Columbia County,Don Blankenship,CST,47
Arkansas,Columbia County,Rocky De La Fuente,ALI,27
Arkansas,Columbia County,Phil Collins,PRO,26
Arkansas,Columbia County,Brian Carroll,ASP,17
Arkansas,Columbia County,Kanye West,IND,17
Arkansas,Columbia County,Gloria La Riva,PSL,12
Arkansas,Columbia County,Brock Pierce,IND,11
Arkansas,Columbia County,John Richard Myers,LLP,10
Arkansas,Columbia County,Connie Gammon,IND,9
Arkansas,Conway County,Donald Trump,REP,5672
Arkansas,Conway County,Joe Biden,DEM,2593
Arkansas,Conway County,Phil Collins,PRO,88
Arkansas,Conway County,Jo Jorgensen,LIB,78
Arkansas,Conway County,John Richard Myers,LLP,49
Arkansas,Conway County,Rocky De La Fuente,ALI,34
Arkansas,Conway County,Kanye West,IND,31
Arkansas,Conway County,Brock Pierce,IND,23
Arkansas,Conway County,Don Blankenship,CST,22
Arkansas,Conway County,Connie Gammon,IND,20
Arkansas,Conway County,Howie Hawkins,GRN,18
Arkansas,Conway County,Brian Carroll,ASP,8
Arkansas,Conway County,Gloria La Riva,PSL,5
Arkansas,Craighead County,Donald Trump,REP,25482
Arkansas,Craighead County,Joe Biden,DEM,11854
Arkansas,Craighead County,Jo Jorgensen,LIB,439
Arkansas,Craighead County,Kanye West,IND,156
Arkansas,Craighead County,Howie Hawkins,GRN,120
Arkansas,Craighead County,Don Blankenship,CST,70
Arkansas,Craighead County,Brian Carroll,ASP,64
Arkansas,Craighead County,Connie Gammon,IND,43
Arkansas,Craighead County,Phil Collins,PRO,40
Arkansas,Craighead County,Gloria La Riva,PSL,40
Arkansas,Craighead County,Brock Pierce,IND,28
Arkansas,Craighead County,Rocky De La Fuente,ALI,17
Arkansas,Craighead County,John Richard Myers,LLP,11
Arkansas,Crawford County,Donald Trump,REP,18566
Arkansas,Crawford County,Joe Biden,DEM,4936
Arkansas,Crawford County,Jo Jorgensen,LIB,273
Arkansas,Crawford County,Kanye West,IND,49
Arkansas,Crawford County,Phil Collins,PRO,39
Arkansas,Crawford County,Howie Hawkins,GRN,35
Arkansas,Crawford County,Brock Pierce,IND,29
Arkansas,Crawford County,Rocky De La Fuente,ALI,26
Arkansas,Crawford County,Don Blankenship,CST,22
Arkansas,Crawford County,Connie Gammon,IND,21
Arkansas,Crawford County,John Richard Myers,LLP,12
Arkansas,Crawford County,Brian Carroll,ASP,9
Arkansas,Crawford County,Gloria La Riva,PSL,8
Arkansas,Crittenden County,Joe Biden,DEM,8325
Arkansas,Crittenden County,Donald Trump,REP,7244
Arkansas,Crittenden County,Kanye West,IND,127
Arkansas,Crittenden County,Jo Jorgensen,LIB,112
Arkansas,Crittenden County,Connie Gammon,IND,63
Arkansas,Crittenden County,Phil Collins,PRO,44
Arkansas,Crittenden County,Rocky De La Fuente,ALI,35
Arkansas,Crittenden County,Howie Hawkins,GRN,29
Arkansas,Crittenden County,Don Blankenship,CST,25
Arkansas,Crittenden County,Brian Carroll,ASP,24
Arkansas,Crittenden County,Gloria La Riva,PSL,21
Arkansas,Crittenden County,John Richard Myers,LLP,19
Arkansas,Crittenden County,Brock Pierce,IND,18
Arkansas,Cross County,Donald Trump,REP,4928
Arkansas,Cross County,Joe Biden,DEM,1759
Arkansas,Cross County,Jo Jorgensen,LIB,48
Arkansas,Cross County,John Richard Myers,LLP,43
Arkansas,Cross County,Kanye West,IND,37
Arkansas,Cross County,Phil Collins,PRO,30
Arkansas,Cross County,Brock Pierce,IND,21
Arkansas,Cross County,Don Blankenship,CST,14
Arkansas,Cross County,Brian Carroll,ASP,9
Arkansas,Cross County,Howie Hawkins,GRN,8
Arkansas,Cross County,Connie Gammon,IND,5
Arkansas,Cross County,Gloria La Riva,PSL,5
Arkansas,Cross County,Rocky De La Fuente,ALI,4
Arkansas,Arkansas County,Donald Trump,REP,4301
Arkansas,Arkansas County,Joe Biden,DEM,1813
Arkansas,Arkansas County,Jo Jorgensen,LIB,46
Arkansas,Arkansas County,Gloria La Riva,PSL,23
Arkansas,Arkansas County,Phil Collins,PRO,22
Arkansas,Arkansas County,Kanye West,IND,19
Arkansas,Arkansas County,Howie Hawkins,GRN,16
Arkansas,Arkansas County,Connie Gammon,IND,13
Arkansas,Arkansas County,Don Blankenship,CST,9
Arkansas,Arkansas County,Brian Carroll,ASP,7
Arkansas,Arkansas County,Rocky De La Fuente,ALI,7
Arkansas,Arkansas County,John Richard Myers,LLP,4
Arkansas,Arkansas County,Brock Pierce,IND,4
Arkansas,Dallas County,Donald Trump,REP,1573
Arkansas,Dallas County,Joe Biden,DEM,963
Arkansas,Dallas County,Kanye West,IND,19
Arkansas,Dallas County,Brock Pierce,IND,18
Arkansas,Dallas County,John Richard Myers,LLP,17
Arkansas,Dallas County,Jo Jorgensen,LIB,14
Arkansas,Dallas County,Don Blankenship,CST,9
Arkansas,Dallas County,Gloria La Riva,PSL,9
Arkansas,Dallas County,Phil Collins,PRO,8
Arkansas,Dallas County,Connie Gammon,IND,8
Arkansas,Dallas County,Rocky De La Fuente,ALI,5
Arkansas,Dallas County,Brian Carroll,ASP,3
Arkansas,Dallas County,Howie Hawkins,GRN,3
Arkansas,Desha County,Joe Biden,DEM,2016
Arkansas,Desha County,Donald Trump,REP,1920
Arkansas,Desha County,Brock Pierce,IND,40
Arkansas,Desha County,Gloria La Riva,PSL,37
Arkansas,Desha County,John Richard Myers,LLP,35
Arkansas,Desha County,Rocky De La Fuente,ALI,33
Arkansas,Desha County,Kanye West,IND,24
Arkansas,Desha County,Jo Jorgensen,LIB,18
Arkansas,Desha County,Don Blankenship,CST,10
Arkansas,Desha County,Phil Collins,PRO,10
Arkansas,Desha County,Howie Hawkins,GRN,10
Arkansas,Desha County,Brian Carroll,ASP,5
Arkansas,Desha County,Connie Gammon,IND,5
Arkansas,Drew County,Donald Trump,REP,4338
Arkansas,Drew County,Joe Biden,DEM,2408
Arkansas,Drew County,Kanye West,IND,38
Arkansas,Drew County,Jo Jorgensen,LIB,27
Arkansas,Drew County,Howie Hawkins,GRN,21
Arkansas,Drew County,Phil Collins,PRO,14
Arkansas,Drew County,Brock Pierce,IND,10
Arkansas,Drew County,John Richard Myers,LLP,8
Arkansas,Drew County,Brian Carroll,ASP,6
Arkansas,Drew County,Gloria La Riva,PSL,4
Arkansas,Drew County,Rocky De La Fuente,ALI,3
Arkansas,Drew County,Don Blankenship,CST,2
Arkansas,Drew County,Connie Gammon,IND,0
Arkansas,Faulkner County,Donald Trump,REP,34338
Arkansas,Faulkner County,Joe Biden,DEM,18267
Arkansas,Faulkner County,Jo Jorgensen,LIB,840
Arkansas,Faulkner County,Kanye West,IND,189
Arkansas,Faulkner County,Howie Hawkins,GRN,158
Arkansas,Faulkner County,Brian Carroll,ASP,91
Arkansas,Faulkner County,Phil Collins,PRO,78
Arkansas,Faulkner County,John Richard Myers,LLP,67
Arkansas,Faulkner County,Gloria La Riva,PSL,61
Arkansas,Faulkner County,Rocky De La Fuente,ALI,56
Arkansas,Faulkner County,Don Blankenship,CST,53
Arkansas,Faulkner County,Brock Pierce,IND,51
Arkansas,Faulkner County,Connie Gammon,IND,15
Arkansas,Franklin County,Donald Trump,REP,5664
Arkansas,Franklin County,Joe Biden,DEM,1298
Arkansas,Franklin County,Jo Jorgensen,LIB,66
Arkansas,Franklin County,Phil Collins,PRO,17
Arkansas,Franklin County,Brian Carroll,ASP,15
Arkansas,Franklin County,Don Blankenship,CST,11
Arkansas,Franklin County,Kanye West,IND,11
Arkansas,Franklin County,Rocky De La Fuente,ALI,10
Arkansas,Franklin County,Howie Hawkins,GRN,9
Arkansas,Franklin County,Brock Pierce,IND,5
Arkansas,Franklin County,Connie Gammon,IND,4
Arkansas,Franklin County,John Richard Myers,LLP,3
Arkansas,Franklin County,Gloria La Riva,PSL,0
Arkansas,Fulton County,Donald Trump,REP,3944
Arkansas,Fulton County,Joe Biden,DEM,1031
Arkansas,Fulton County,Jo Jorgensen,LIB,38
Arkansas,Fulton County,Brock Pierce,IND,29
Arkansas,Fulton County,Don Blankenship,CST,14
Arkansas,Fulton County,Phil Collins,PRO,10
Arkansas,Fulton County,Kanye West,IND,9
Arkansas,Fulton County,Rocky De La Fuente,ALI,7
Arkansas,Fulton County,Gloria La Riva,PSL,5
Arkansas,Fulton County,Howie Hawkins,GRN,4
Arkansas,Fulton County,John Richard Myers,LLP,4
Arkansas,Fulton County,Connie Gammon,IND,2
Arkansas,Fulton County,Brian Carroll,ASP,1
Arkansas,Garland County,Donald Trump,REP,29065
Arkansas,Garland County,Joe Biden,DEM,14043
Arkansas,Garland County,Jo Jorgensen,LIB,396
Arkansas,Garland County,Don Blankenship,CST,137
Arkansas,Garland County,Howie Hawkins,GRN,102
Arkansas,Garland County,Brock Pierce,IND,88
Arkansas,Garland County,Kanye West,IND,88
Arkansas,Garland County,Connie Gammon,IND,73
Arkansas,Garland County,Phil Collins,PRO,64
Arkansas,Garland County,Brian Carroll,ASP,51
Arkansas,Garland County,John Richard Myers,LLP,31
Arkansas,Garland County,Gloria La Riva,PSL,28
Arkansas,Garland County,Rocky De La Fuente,ALI,27
Arkansas,Grant County,Donald Trump,REP,6791
Arkansas,Grant County,Joe Biden,DEM,1268
Arkansas,Grant County,Jo Jorgensen,LIB,56
Arkansas,Grant County,John Richard Myers,LLP,13
Arkansas,Grant County,Phil Collins,PRO,11
Arkansas,Grant County,Rocky De La Fuente,ALI,10
Arkansas,Grant County,Connie Gammon,IND,9
Arkansas,Grant County,Kanye West,IND,9
Arkansas,Grant County,Howie Hawkins,GRN,8
Arkansas,Grant County,Brock Pierce,IND,7
Arkansas,Grant County,Don Blankenship,CST,6
Arkansas,Grant County,Brian Carroll,ASP,6
Arkansas,Grant County,Gloria La Riva,PSL,3
Arkansas,Greene County,Donald Trump,REP,12651
Arkansas,Greene County,Joe Biden,DEM,3045
Arkansas,Greene County,Jo Jorgensen,LIB,188
Arkansas,Greene County,Kanye West,IND,43
Arkansas,Greene County,Phil Collins,PRO,36
Arkansas,Greene County,Howie Hawkins,GRN,32
Arkansas,Greene County,Brock Pierce,IND,17
Arkansas,Greene County,Connie Gammon,IND,16
Arkansas,Greene County,Don Blankenship,CST,9
Arkansas,Greene County,Brian Carroll,ASP,9
Arkansas,Greene County,Rocky De La Fuente,ALI,8
Arkansas,Greene County,Gloria La Riva,PSL,6
Arkansas,Greene County,John Richard Myers,LLP,6
Arkansas,Hempstead County,Donald Trump,REP,8067
Arkansas,Hempstead County,Joe Biden,DEM,3294
Arkansas,Hempstead County,Kanye West,IND,127
Arkansas,Hempstead County,Jo Jorgensen,LIB,54
Arkansas,Hempstead County,Brock Pierce,IND,48
Arkansas,Hempstead County,Connie Gammon,IND,47
Arkansas,Hempstead County,John Richard Myers,LLP,46
Arkansas,Hempstead County,Phil Collins,PRO,43
Arkansas,Hempstead County,Howie Hawkins,GRN,43
Arkansas,Hempstead County,Rocky De La Fuente,ALI,36
Arkansas,Hempstead County,Don Blankenship,CST,12
Arkansas,Hempstead County,Gloria La Riva,PSL,10
Arkansas,Hempstead County,Brian Carroll,ASP,8
Arkansas,Ashley County,Donald Trump,REP,5540
Arkansas,Ashley County,Joe Biden,DEM,2119
Arkansas,Ashley County,Phil Collins,PRO,44
Arkansas,Ashley County,Kanye West,IND,43
Arkansas,Ashley County,Connie Gammon,IND,34
Arkansas,Ashley County,Don Blankenship,CST,30
Arkansas,Ashley County,Gloria La Riva,PSL,26
Arkansas,Ashley County,Jo Jorgensen,LIB,25
Arkansas,Ashley County,John Richard Myers,LLP,17
Arkansas,Ashley County,Brian Carroll,ASP,10
Arkansas,Ashley County,Rocky De La Fuente,ALI,9
Arkansas,Ashley County,Howie Hawkins,GRN,9
Arkansas,Ashley County,Brock Pierce,IND,5
Arkansas,Hot Spring County,Donald Trump,REP,9178
Arkansas,Hot Spring County,Joe Biden,DEM,3053
Arkansas,Hot Spring County,Jo Jorgensen,LIB,93
Arkansas,Hot Spring County,Kanye West,IND,38
Arkansas,Hot Spring County,Brock Pierce,IND,37
Arkansas,Hot Spring County,Phil Collins,PRO,26
Arkansas,Hot Spring County,Connie Gammon,IND,17
Arkansas,Hot Spring County,Howie Hawkins,GRN,16
Arkansas,Hot Spring County,Don Blankenship,CST,14
Arkansas,Hot Spring County,Brian Carroll,ASP,11
Arkansas,Hot Spring County,John Richard Myers,LLP,8
Arkansas,Hot Spring County,Rocky De La Fuente,ALI,6
Arkansas,Hot Spring County,Gloria La Riva,PSL,6
Arkansas,Howard County,Donald Trump,REP,3358
Arkansas,Howard County,Joe Biden,DEM,1333
Arkansas,Howard County,Jo Jorgensen,LIB,27
Arkansas,Howard County,Phil Collins,PRO,20
Arkansas,Howard County,Kanye West,IND,17
Arkansas,Howard County,Gloria La Riva,PSL,14
Arkansas,Howard County,Don Blankenship,CST,13
Arkansas,Howard County,Howie Hawkins,GRN,11
Arkansas,Howard County,Brock Pierce,IND,10
Arkansas,Howard County,Connie Gammon,IND,8
Arkansas,Howard County,Brian Carroll,ASP,4
Arkansas,Howard County,Rocky De La Fuente,ALI,2
Arkansas,Howard County,John Richard Myers,LLP,1
Arkansas,Independence County,Donald Trump,REP,11232
Arkansas,Independence County,Joe Biden,DEM,2798
Arkansas,Independence County,Jo Jorgensen,LIB,147
Arkansas,Independence County,Phil Collins,PRO,99
Arkansas,Independence County,Kanye West,IND,58
Arkansas,Independence County,Brock Pierce,IND,45
Arkansas,Independence County,Don Blankenship,CST,29
Arkansas,Independence County,Howie Hawkins,GRN,23
Arkansas,Independence County,Connie Gammon,IND,17
Arkansas,Independence County,Brian Carroll,ASP,16
Arkansas,Independence County,Gloria La Riva,PSL,9
Arkansas,Independence County,John Richard Myers,LLP,7
Arkansas,Independence County,Rocky De La Fuente,ALI,6
Arkansas,Izard County,Donald Trump,REP,4615
Arkansas,Izard County,Joe Biden,DEM,1019
Arkansas,Izard County,Jo Jorgensen,LIB,55
Arkansas,Izard County,Don Blankenship,CST,30
Arkansas,Izard County,Kanye West,IND,14
Arkansas,Izard County,John Richard Myers,LLP,13
Arkansas,Izard County,Brian Carroll,ASP,12
Arkansas,Izard County,Phil Collins,PRO,12
Arkansas,Izard County,Connie Gammon,IND,8
Arkansas,Izard County,Brock Pierce,IND,6
Arkansas,Izard County,Howie Hawkins,GRN,4
Arkansas,Izard County,Rocky De La Fuente,ALI,2
Arkansas,Izard County,Gloria La Riva,PSL,2
Arkansas,Jackson County,Donald Trump,REP,3583
Arkansas,Jackson County,Joe Biden,DEM,1360
Arkansas,Jackson County,Jo Jorgensen,LIB,37
Arkansas,Jackson County,Kanye West,IND,25
Arkansas,Jackson County,Don Blankenship,CST,19
Arkansas,Jackson County,John Richard Myers,LLP,11
Arkansas,Jackson County,Phil Collins,PRO,10
Arkansas,Jackson County,Brian Carroll,ASP,8
Arkansas,Jackson County,Rocky De La Fuente,ALI,8
Arkansas,Jackson County,Howie Hawkins,GRN,5
Arkansas,Jackson County,Gloria La Riva,PSL,5
Arkansas,Jackson County,Connie Gammon,IND,3
Arkansas,Jackson County,Brock Pierce,IND,2
Arkansas,Jefferson County,Joe Biden,DEM,14882
Arkansas,Jefferson County,Donald Trump,REP,9500
Arkansas,Jefferson County,Kanye West,IND,132
Arkansas,Jefferson County,Jo Jorgensen,LIB,103
Arkansas,Jefferson County,Rocky De La Fuente,ALI,77
Arkansas,Jefferson County,Gloria La Riva,PSL,72
Arkansas,Jefferson County,Phil Collins,PRO,59
Arkansas,Jefferson County,Brian Carroll,ASP,58
Arkansas,Jefferson County,Connie Gammon,IND,49
Arkansas,Jefferson County,Brock Pierce,IND,27
Arkansas,Jefferson County,Howie Hawkins,GRN,25
Arkansas,Jefferson County,Don Blankenship,CST,24
Arkansas,Jefferson County,John Richard Myers,LLP,22
Arkansas,Johnson County,Donald Trump,REP,6867
Arkansas,Johnson County,Joe Biden,DEM,2262
Arkansas,Johnson County,Jo Jorgensen,LIB,95
Arkansas,Johnson County,Phil Collins,PRO,31
Arkansas,Johnson County,Kanye West,IND,30
Arkansas,Johnson County,Howie Hawkins,GRN,25
Arkansas,Johnson County,Brock Pierce,IND,24
Arkansas,Johnson County,Don Blankenship,CST,20
Arkansas,Johnson County,Rocky De La Fuente,ALI,15
Arkansas,Johnson County,Brian Carroll,ASP,13
Arkansas,Johnson County,Gloria La Riva,PSL,11
Arkansas,Johnson County,Connie Gammon,IND,6
Arkansas,Johnson County,John Richard Myers,LLP,3
Arkansas,Lafayette County,Donald Trump,REP,1730
Arkansas,Lafayette County,Joe Biden,DEM,820
Arkansas,Lafayette County,Kanye West,IND,22
Arkansas,Lafayette County,Phil Collins,PRO,13
Arkansas,Lafayette County,Gloria La Riva,PSL,12
Arkansas,Lafayette County,Jo Jorgensen,LIB,9
Arkansas,Lafayette County,Brock Pierce,IND,7
Arkansas,Lafayette County,Don Blankenship,CST,6
Arkansas,Lafayette County,Rocky De La Fuente,ALI,5
Arkansas,Lafayette County,Howie Hawkins,GRN,5
Arkansas,Lafayette County,John Richard Myers,LLP,3
Arkansas,Lafayette County,Connie Gammon,IND,1
Arkansas,Lafayette County,Brian Carroll,ASP,0
Arkansas,Lawrence County,Donald Trump,REP,4569
Arkansas,Lawrence County,Joe Biden,DEM,1080
Arkansas,Lawrence County,Jo Jorgensen,LIB,52
Arkansas,Lawrence County,Phil Collins,PRO,49
Arkansas,Lawrence County,Don Blankenship,CST,45
Arkansas,Lawrence County,Kanye West,IND,16
Arkansas,Lawrence County,Brock Pierce,IND,12
Arkansas,Lawrence County,Brian Carroll,ASP,9
Arkansas,Lawrence County,John Richard Myers,LLP,9
Arkansas,Lawrence County,Howie Hawkins,GRN,8
Arkansas,Lawrence County,Rocky De La Fuente,ALI,3
Arkansas,Lawrence County,Connie Gammon,IND,3
Arkansas,Lawrence County,Gloria La Riva,PSL,2
Arkansas,Lee County,Joe Biden,DEM,1423
Arkansas,Lee County,Donald Trump,REP,1286
Arkansas,Lee County,Gloria La Riva,PSL,26
Arkansas,Lee County,Connie Gammon,IND,24
Arkansas,Lee County,Phil Collins,PRO,18
Arkansas,Lee County,Kanye West,IND,15
Arkansas,Lee County,Don Blankenship,CST,14
Arkansas,Lee County,Brian Carroll,ASP,8
Arkansas,Lee County,Jo Jorgensen,LIB,8
Arkansas,Lee County,Brock Pierce,IND,8
Arkansas,Lee County,Howie Hawkins,GRN,7
Arkansas,Lee County,Rocky De La Fuente,ALI,6
Arkansas,Lee County,John Richard Myers,LLP,5
Arkansas,Baxter County,Donald Trump,REP,15810
Arkansas,Baxter County,Joe Biden,DEM,4625
Arkansas,Baxter County,Jo Jorgensen,LIB,182
Arkansas,Baxter County,Don Blankenship,CST,78
Arkansas,Baxter County,Kanye West,IND,72
Arkansas,Baxter County,Howie Hawkins,GRN,42
Arkansas,Baxter County,Brock Pierce,IND,41
Arkansas,Baxter County,Phil Collins,PRO,30
Arkansas,Baxter County,Brian Carroll,ASP,27
Arkansas,Baxter County,Rocky De La Fuente,ALI,24
Arkansas,Baxter County,Connie Gammon,IND,16
Arkansas,Baxter County,John Richard Myers,LLP,11
Arkansas,Baxter County,Gloria La Riva,PSL,10
Arkansas,Lincoln County,Donald Trump,REP,2725
Arkansas,Lincoln County,Joe Biden,DEM,1031
Arkansas,Lincoln County,Phil Collins,PRO,21
Arkansas,Lincoln County,Jo Jorgensen,LIB,21
Arkansas,Lincoln County,Howie Hawkins,GRN,20
Arkansas,Lincoln County,Gloria La Riva,PSL,16
Arkansas,Lincoln County,Kanye West,IND,14
Arkansas,Lincoln County,Connie Gammon,IND,6
Arkansas,Lincoln County,Rocky De La Fuente,ALI,4
Arkansas,Lincoln County,John Richard Myers,LLP,4
Arkansas,Lincoln County,Don Blankenship,CST,3
Arkansas,Lincoln County,Brock Pierce,IND,3
Arkansas,Lincoln County,Brian Carroll,ASP,2
Arkansas,Little River County,Donald Trump,REP,3714
Arkansas,Little River County,Joe Biden,DEM,1226
Arkansas,Little River County,Don Blankenship,CST,83
Arkansas,Little River County,Jo Jorgensen,LIB,44
Arkansas,Little River County,John Richard Myers,LLP,29
Arkansas,Little River County,Gloria La Riva,PSL,19
Arkansas,Little River County,Kanye West,IND,17
Arkansas,Little River County,Connie Gammon,IND,13
Arkansas,Little River County,Phil Collins,PRO,11
Arkansas,Little River County,Brock Pierce,IND,11
Arkansas,Little River County,Howie Hawkins,GRN,7
Arkansas,Little River County,Brian Carroll,ASP,3
Arkansas,Little River County,Rocky De La Fuente,ALI,1
Arkansas,Logan County,Donald Trump,REP,6438
Arkansas,Logan County,Joe Biden,DEM,1544
Arkansas,Logan County,Jo Jorgensen,LIB,88
Arkansas,Logan County,Don Blankenship,CST,28
Arkansas,Logan County,Phil Collins,PRO,27
Arkansas,Logan County,Kanye West,IND,24
Arkansas,Logan County,Howie Hawkins,GRN,16
Arkansas,Logan County,John Richard Myers,LLP,14
Arkansas,Logan County,Brock Pierce,IND,13
Arkansas,Logan County,Connie Gammon,IND,12
Arkansas,Logan County,Brian Carroll,ASP,7
Arkansas,Logan County,Gloria La Riva,PSL,6
Arkansas,Logan County,Rocky De La Fuente,ALI,5
Arkansas,Lonoke County,Donald Trump,REP,22884
Arkansas,Lonoke County,Joe Biden,DEM,6684
Arkansas,Lonoke County,Jo Jorgensen,LIB,403
Arkansas,Lonoke County,Connie Gammon,IND,124
Arkansas,Lonoke County,John Richard Myers,LLP,123
Arkansas,Lonoke County,Rocky De La Fuente,ALI,97
Arkansas,Lonoke County,Howie Hawkins,GRN,72
Arkansas,Lonoke County,Kanye West,IND,71
Arkansas,Lonoke County,Don Blankenship,CST,63
Arkansas,Lonoke County,Phil Collins,PRO,48
Arkansas,Lonoke County,Gloria La Riva,PSL,37
Arkansas,Lonoke County,Brock Pierce,IND,35
Arkansas,Lonoke County,Brian Carroll,ASP,19
Arkansas,Madison County,Donald Trump,REP,5630
Arkansas,Madison County,Joe Biden,DEM,1555
Arkansas,Madison County,Jo Jorgensen,LIB,54
Arkansas,Madison County,Howie Hawkins,GRN,19
Arkansas,Madison County,Phil Collins,PRO,18
Arkansas,Madison County,Kanye West,IND,10
Arkansas,Madison County,Brock Pierce,IND,8
Arkansas,Madison County,Rocky De La Fuente,ALI,6
Arkansas,Madison County,Gloria La Riva,PSL,4
Arkansas,Madison County,Don Blankenship,CST,3
Arkansas,Madison County,Brian Carroll,ASP,3
Arkansas,Madison County,Connie Gammon,IND,3
Arkansas,Madison County,John Richard Myers,LLP,2
Arkansas,Marion County,Donald Trump,REP,5767
Arkansas,Marion County,Joe Biden,DEM,1526
Arkansas,Marion County,Jo Jorgensen,LIB,64
Arkansas,Marion County,Connie Gammon,IND,27
Arkansas,Marion County,John Richard Myers,LLP,20
Arkansas,Marion County,Phil Collins,PRO,19
Arkansas,Marion County,Howie Hawkins,GRN,19
Arkansas,Marion County,Don Blankenship,CST,7
Arkansas,Marion County,Brian Carroll,ASP,7
Arkansas,Marion County,Rocky De La Fuente,ALI,7
Arkansas,Marion County,Brock Pierce,IND,7
Arkansas,Marion County,Kanye West,IND,7
Arkansas,Marion County,Gloria La Riva,PSL,4
Arkansas,Miller County,Donald Trump,REP,11907
Arkansas,Miller County,Joe Biden,DEM,4235
Arkansas,Miller County,Jo Jorgensen,LIB,101
Arkansas,Miller County,Howie Hawkins,GRN,41
Arkansas,Miller County,Brock Pierce,IND,41
Arkansas,Miller County,John Richard Myers,LLP,35
Arkansas,Miller County,Rocky De La Fuente,ALI,29
Arkansas,Miller County,Kanye West,IND,28
Arkansas,Miller County,Phil Collins,PRO,27
Arkansas,Miller County,Don Blankenship,CST,19
Arkansas,Miller County,Gloria La Riva,PSL,19
Arkansas,Miller County,Connie Gammon,IND,17
Arkansas,Miller County,Brian Carroll,ASP,7
Arkansas,Mississippi County,Donald Trump,REP,7262
Arkansas,Mississippi County,Joe Biden,DEM,4542
Arkansas,Mississippi County,Jo Jorgensen,LIB,121
Arkansas,Mississippi County,Phil Collins,PRO,86
Arkansas,Mississippi County,Brock Pierce,IND,52
Arkansas,Mississippi County,Kanye West,IND,48
Arkansas,Mississippi County,Brian Carroll,ASP,44
Arkansas,Mississippi County,John Richard Myers,LLP,35
Arkansas,Mississippi County,Don Blankenship,CST,28
Arkansas,Mississippi County,Howie Hawkins,GRN,23
Arkansas,Mississippi County,Rocky De La Fuente,ALI,17
Arkansas,Mississippi County,Connie Gammon,IND,16
Arkansas,Mississippi County,Gloria La Riva,PSL,13
Arkansas,Monroe County,Donald Trump,REP,1545
Arkansas,Monroe County,Joe Biden,DEM,1146
Arkansas,Monroe County,Howie Hawkins,GRN,33
Arkansas,Monroe County,Connie Gammon,IND,20
Arkansas,Monroe County,Gloria La Riva,PSL,19
Arkansas,Monroe County,Jo Jorgensen,LIB,12
Arkansas,Monroe County,John Richard Myers,LLP,12
Arkansas,Monroe County,Kanye West,IND,10
Arkansas,Monroe County,Phil Collins,PRO,6
Arkansas,Monroe County,Don Blankenship,CST,5
Arkansas,Monroe County,Brock Pierce,IND,4
Arkansas,Monroe County,Rocky De La Fuente,ALI,2
Arkansas,Monroe County,Brian Carroll,ASP,1
Arkansas,Montgomery County,Donald Trump,REP,3021
Arkansas,Montgomery County,Joe Biden,DEM,722
Arkansas,Montgomery County,Brian Carroll,ASP,31
Arkansas,Montgomery County,Jo Jorgensen,LIB,26
Arkansas,Montgomery County,Rocky De La Fuente,ALI,9
Arkansas,Montgomery County,Howie Hawkins,GRN,7
Arkansas,Montgomery County,Phil Collins,PRO,6
Arkansas,Montgomery County,Connie Gammon,IND,4
Arkansas,Montgomery County,Kanye West,IND,4
Arkansas,Montgomery County,Gloria La Riva,PSL,3
Arkansas,Montgomery County,John Richard Myers,LLP,3
Arkansas,Montgomery County,Don Blankenship,CST,2
Arkansas,Montgomery County,Brock Pierce,IND,1
Arkansas,Benton County,Donald Trump,REP,76605
Arkansas,Benton County,Joe Biden,DEM,41894
Arkansas,Benton County,Jo Jorgensen,LIB,1956
Arkansas,Benton County,Kanye West,IND,323
Arkansas,Benton County,Howie Hawkins,GRN,274
Arkansas,Benton County,Brock Pierce,IND,271
Arkansas,Benton County,Brian Carroll,ASP,170
