state,county,candidate,party,votes
Florida,Jackson County,Rocky De La Fuente,ALI,13
Florida,Jackson County,Howie Hawkins,GRN,13
Florida,Jackson County,Gloria La Riva,PSL,13
Florida,Jackson County,Don Blankenship,CST,5
Florida,Jefferson County,Donald Trump,REP,4474
Florida,Jefferson County,Joe Biden,DEM,3893
Florida,Jefferson County,Jo Jorgensen,LIB,46
Florida,Jefferson County, Write-ins,WRI,20
Florida,Jefferson County,Howie Hawkins,GRN,13
Florida,Jefferson County,Don Blankenship,CST,5
Florida,Jefferson County,Rocky De La Fuente,ALI,4
Florida,Jefferson County,Gloria La Riva,PSL,4
Florida,Lafayette County,Donald Trump,REP,3126
Florida,Lafayette County,Joe Biden,DEM,507
Florida,Lafayette County,Jo Jorgensen,LIB,14
Florida,Lafayette County, Write-ins,WRI,4
Florida,Lafayette County,Don Blankenship,CST,2
Florida,Lafayette County,Howie Hawkins,GRN,2
Florida,Lafayette County,Rocky De La Fuente,ALI,1
Florida,Lafayette County,Gloria La Riva,PSL,1
Florida,Lake County,Donald Trump,REP,125687
Florida,Lake County,Joe Biden,DEM,83273
Florida,Lake County,Jo Jorgensen,LIB,1381
Florida,Lake County, Write-ins,WRI,424
Florida,Lake County,Howie Hawkins,GRN,254
Florida,Lake County,Rocky De La Fuente,ALI,120
Florida,Lake County,Gloria La Riva,PSL,96
Florida,Lake County,Don Blankenship,CST,79
Florida,Lee County,Donald Trump,REP,232075
Florida,Lee County,Joe Biden,DEM,156957
Florida,Lee County,Jo Jorgensen,LIB,1990
Florida,Lee County,Howie Hawkins,GRN,434
Florida,Lee County,Rocky De La Fuente,ALI,186
Florida,Lee County,Gloria La Riva,PSL,174
Florida,Lee County,Don Blankenship,CST,118
Florida,Leon County,Joe Biden,DEM,103364
Florida,Leon County,Donald Trump,REP,57384
Florida,Leon County,Jo Jorgensen,LIB,1340
Florida,Leon County,Howie Hawkins,GRN,271
Florida,Leon County,Gloria La Riva,PSL,122
Florida,Leon County,Rocky De La Fuente,ALI,98
Florida,Leon County,Don Blankenship,CST,71
Florida,Leon County, Write-ins,WRI,0
Florida,Levy County,Donald Trump,REP,16721
Florida,Levy County,Joe Biden,DEM,6189
Florida,Levy County,Jo Jorgensen,LIB,130
Florida,Levy County, Write-ins,WRI,41
Florida,Levy County,Howie Hawkins,GRN,25
Florida,Levy County,Rocky De La Fuente,ALI,14
Florida,Levy County,Don Blankenship,CST,13
Florida,Levy County,Gloria La Riva,PSL,7
Florida,Liberty County,Donald Trump,REP,2846
Florida,Liberty County,Joe Biden,DEM,693
Florida,Liberty County,Jo Jorgensen,LIB,14
Florida,Liberty County, Write-ins,WRI,4
Florida,Liberty County,Rocky De La Fuente,ALI,2
Florida,Liberty County,Howie Hawkins,GRN,2
Florida,Liberty County,Don Blankenship,CST,1
Florida,Liberty County,Gloria La Riva,PSL,0
Florida,Madison County,Donald Trump,REP,5576
Florida,Madison County,Joe Biden,DEM,3747
Florida,Madison County,Jo Jorgensen,LIB,32
Florida,Madison County,Howie Hawkins,GRN,13
Florida,Madison County,Don Blankenship,CST,5
Florida,Madison County,Gloria La Riva,PSL,4
Florida,Madison County,Rocky De La Fuente,ALI,3
Florida,Madison County, Write-ins,WRI,0
Florida,Manatee County,Donald Trump,REP,124827
Florida,Manatee County,Joe Biden,DEM,90007
Florida,Manatee County,Jo Jorgensen,LIB,1284
Florida,Manatee County,Howie Hawkins,GRN,257
Florida,Manatee County,Rocky De La Fuente,ALI,96
Florida,Manatee County,Gloria La Riva,PSL,78
Florida,Manatee County,Don Blankenship,CST,68
Florida,Marion County,Donald Trump,REP,127744
Florida,Marion County,Joe Biden,DEM,74802
Florida,Marion County,Jo Jorgensen,LIB,1180
Florida,Marion County, Write-ins,WRI,355
Florida,Marion County,Howie Hawkins,GRN,228
Florida,Marion County,Gloria La Riva,PSL,98
Florida,Marion County,Rocky De La Fuente,ALI,90
Florida,Marion County,Don Blankenship,CST,80
Florida,Martin County,Donald Trump,REP,61133
Florida,Martin County,Joe Biden,DEM,36873
Florida,Martin County,Jo Jorgensen,LIB,448
Florida,Martin County, Write-ins,WRI,218
Florida,Martin County,Howie Hawkins,GRN,105
Florida,Martin County,Rocky De La Fuente,ALI,38
Florida,Martin County,Don Blankenship,CST,37
Florida,Martin County,Gloria La Riva,PSL,35
Florida,Miami-Dade County,Joe Biden,DEM,617289
Florida,Miami-Dade County,Donald Trump,REP,532460
Florida,Miami-Dade County,Jo Jorgensen,LIB,3325
Florida,Miami-Dade County,Howie Hawkins,GRN,1284
Florida,Miami-Dade County,Rocky De La Fuente,ALI,602
Florida,Miami-Dade County,Gloria La Riva,PSL,578
Florida,Miami-Dade County,Don Blankenship,CST,293
Florida,Monroe County,Donald Trump,REP,25668
Florida,Monroe County,Joe Biden,DEM,21848
Florida,Monroe County,Jo Jorgensen,LIB,346
Florida,Monroe County, Write-ins,WRI,110
Florida,Monroe County,Howie Hawkins,GRN,51
Florida,Monroe County,Rocky De La Fuente,ALI,26
Florida,Monroe County,Gloria La Riva,PSL,13
Florida,Monroe County,Don Blankenship,CST,12
Florida,Nassau County,Donald Trump,REP,42502
Florida,Nassau County,Joe Biden,DEM,15542
Florida,Nassau County,Jo Jorgensen,LIB,568
Florida,Nassau County, Write-ins,WRI,109
Florida,Nassau County,Howie Hawkins,GRN,43
Florida,Nassau County,Rocky De La Fuente,ALI,28
Florida,Nassau County,Don Blankenship,CST,24
Florida,Nassau County,Gloria La Riva,PSL,12
Florida,Okaloosa County,Donald Trump,REP,79633
Florida,Okaloosa County,Joe Biden,DEM,34165
Florida,Okaloosa County,Jo Jorgensen,LIB,1872
Florida,Okaloosa County, Write-ins,WRI,404
Florida,Okaloosa County,Howie Hawkins,GRN,183
Florida,Okaloosa County,Don Blankenship,CST,79
Florida,Okaloosa County,Rocky De La Fuente,ALI,76
Florida,Okaloosa County,Gloria La Riva,PSL,73
Florida,Okeechobee County,Donald Trump,REP,11460
Florida,Okeechobee County,Joe Biden,DEM,4380
Florida,Okeechobee County,Jo Jorgensen,LIB,66
Florida,Okeechobee County, Write-ins,WRI,31
Florida,Okeechobee County,Don Blankenship,CST,8
Florida,Okeechobee County,Rocky De La Fuente,ALI,8
Florida,Okeechobee County,Howie Hawkins,GRN,7
Florida,Okeechobee County,Gloria La Riva,PSL,4
Florida,Orange County,Joe Biden,DEM,394602
Florida,Orange County,Donald Trump,REP,245162
Florida,Orange County,Jo Jorgensen,LIB,4680
Florida,Orange County,Howie Hawkins,GRN,1141
Florida,Orange County,Gloria La Riva,PSL,444
Florida,Orange County,Rocky De La Fuente,ALI,383
Florida,Orange County,Don Blankenship,CST,223
Florida,Osceola County,Joe Biden,DEM,97157
Florida,Osceola County,Donald Trump,REP,73373
Florida,Osceola County,Jo Jorgensen,LIB,962
Florida,Osceola County,Howie Hawkins,GRN,289
Florida,Osceola County,Rocky De La Fuente,ALI,166
Florida,Osceola County,Gloria La Riva,PSL,139
Florida,Osceola County,Don Blankenship,CST,70
Florida,Palm Beach County,Joe Biden,DEM,432117
Florida,Palm Beach County,Donald Trump,REP,333927
Florida,Palm Beach County,Jo Jorgensen,LIB,3026
Florida,Palm Beach County,Howie Hawkins,GRN,886
Florida,Palm Beach County,Rocky De La Fuente,ALI,354
Florida,Palm Beach County,Gloria La Riva,PSL,334
Florida,Palm Beach County,Don Blankenship,CST,188
Florida,Pasco County,Donald Trump,REP,179343
Florida,Pasco County,Joe Biden,DEM,118767
Florida,Pasco County,Jo Jorgensen,LIB,2253
Florida,Pasco County,Howie Hawkins,GRN,466
Florida,Pasco County,Rocky De La Fuente,ALI,199
Florida,Pasco County,Gloria La Riva,PSL,169
Florida,Pasco County,Don Blankenship,CST,141
Florida,Pasco County, Write-ins,WRI,0
Florida,Pinellas County,Joe Biden,DEM,277191
Florida,Pinellas County,Donald Trump,REP,275949
Florida,Pinellas County,Jo Jorgensen,LIB,4257
Florida,Pinellas County, Write-ins,WRI,1547
Florida,Pinellas County,Howie Hawkins,GRN,910
Florida,Pinellas County,Gloria La Riva,PSL,310
Florida,Pinellas County,Rocky De La Fuente,ALI,305
Florida,Pinellas County,Don Blankenship,CST,199
Florida,Polk County,Donald Trump,REP,194271
Florida,Polk County,Joe Biden,DEM,144775
Florida,Polk County,Jo Jorgensen,LIB,2583
Florida,Polk County, Write-ins,WRI,808
Florida,Polk County,Howie Hawkins,GRN,425
Florida,Polk County,Gloria La Riva,PSL,217
Florida,Polk County,Rocky De La Fuente,ALI,204
Florida,Polk County,Don Blankenship,CST,140
Florida,Putnam County,Donald Trump,REP,25496
Florida,Putnam County,Joe Biden,DEM,10512
Florida,Putnam County,Jo Jorgensen,LIB,223
Florida,Putnam County,Howie Hawkins,GRN,50
Florida,Putnam County, Write-ins,WRI,49
Florida,Putnam County,Don Blankenship,CST,20
Florida,Putnam County,Gloria La Riva,PSL,20
Florida,Putnam County,Rocky De La Fuente,ALI,14
Florida,St. Johns County,Donald Trump,REP,110886
Florida,St. Johns County,Joe Biden,DEM,63808
Florida,St. Johns County,Jo Jorgensen,LIB,1412
Florida,St. Johns County, Write-ins,WRI,427
Florida,St. Johns County,Howie Hawkins,GRN,210
Florida,St. Johns County,Rocky De La Fuente,ALI,101
Florida,St. Johns County,Gloria La Riva,PSL,54
Florida,St. Johns County,Don Blankenship,CST,44
Florida,St. Lucie County,Donald Trump,REP,86748
Florida,St. Lucie County,Joe Biden,DEM,84005
Florida,St. Lucie County,Jo Jorgensen,LIB,767
Florida,St. Lucie County,Howie Hawkins,GRN,208
Florida,St. Lucie County,Gloria La Riva,PSL,82
Florida,St. Lucie County,Rocky De La Fuente,ALI,70
Florida,St. Lucie County,Don Blankenship,CST,61
Florida,Santa Rosa County,Donald Trump,REP,77306
Florida,Santa Rosa County,Joe Biden,DEM,27560
Florida,Santa Rosa County,Jo Jorgensen,LIB,1635
Florida,Santa Rosa County,Howie Hawkins,GRN,121
Florida,Santa Rosa County,Rocky De La Fuente,ALI,60
Florida,Santa Rosa County,Don Blankenship,CST,55
Florida,Santa Rosa County,Gloria La Riva,PSL,45
Florida,Santa Rosa County, Write-ins,WRI,0
Florida,Sarasota County,Donald Trump,REP,148065
Florida,Sarasota County,Joe Biden,DEM,119892
Florida,Sarasota County,Jo Jorgensen,LIB,1500
Florida,Sarasota County, Write-ins,WRI,639
Florida,Sarasota County,Howie Hawkins,GRN,283
Florida,Sarasota County,Gloria La Riva,PSL,105
Florida,Sarasota County,Rocky De La Fuente,ALI,102
Florida,Sarasota County,Don Blankenship,CST,70
Florida,Seminole County,Joe Biden,DEM,132213
Florida,Seminole County,Donald Trump,REP,125035
Florida,Seminole County,Jo Jorgensen,LIB,2212
Florida,Seminole County,Howie Hawkins,GRN,405
Florida,Seminole County,Rocky De La Fuente,ALI,135
Florida,Seminole County,Gloria La Riva,PSL,135
Florida,Seminole County,Don Blankenship,CST,102
Florida,Sumter County,Donald Trump,REP,62753
Florida,Sumter County,Joe Biden,DEM,29326
Florida,Sumter County,Jo Jorgensen,LIB,268
Florida,Sumter County, Write-ins,WRI,140
Florida,Sumter County,Howie Hawkins,GRN,39
Florida,Sumter County,Don Blankenship,CST,29
Florida,Sumter County,Rocky De La Fuente,ALI,25
Florida,Sumter County,Gloria La Riva,PSL,20
Florida,Suwannee County,Donald Trump,REP,16387
Florida,Suwannee County,Joe Biden,DEM,4480
Florida,Suwannee County,Jo Jorgensen,LIB,119
Florida,Suwannee County, Write-ins,WRI,25
Florida,Suwannee County,Howie Hawkins,GRN,23
Florida,Suwannee County,Gloria La Riva,PSL,8
Florida,Suwannee County,Don Blankenship,CST,6
Florida,Suwannee County,Rocky De La Fuente,ALI,6
Florida,Taylor County,Donald Trump,REP,7725
Florida,Taylor County,Joe Biden,DEM,2288
Florida,Taylor County,Jo Jorgensen,LIB,52
Florida,Taylor County, Write-ins,WRI,13
Florida,Taylor County,Howie Hawkins,GRN,11
Florida,Taylor County,Gloria La Riva,PSL,6
Florida,Taylor County,Don Blankenship,CST,3
Florida,Taylor County,Rocky De La Fuente,ALI,3
Florida,Union County,Donald Trump,REP,5130
Florida,Union County,Joe Biden,DEM,1052
Florida,Union County,Jo Jorgensen,LIB,42
Florida,Union County, Write-ins,WRI,6
Florida,Union County,Don Blankenship,CST,5
Florida,Union County,Howie Hawkins,GRN,5
