Datum,PM10,kraj
2014-05-27,19.9,Celje
2014-05-28,13.8,Celje
2014-05-29,14,Celje
2014-05-30,17.6,Celje
2014-05-31,20.1,Celje
2014-06-01,13.5,Celje
2014-06-02,20.7,Celje
2014-06-03,19.4,Celje
2014-06-04,22.1,Celje
2014-06-05,21.3,Celje
2014-06-06,30.1,Celje
2014-06-07,25.6,Celje
2014-06-08,22.3,Celje
2014-06-09,26.6,Celje
2014-06-10,29.4,Celje
2014-06-11,30.9,Celje
2014-06-12,30.6,Celje
2014-06-13,18.3,Celje
2014-06-14,15.6,Celje
2014-06-15,11.9,Celje
2014-06-16,21.3,Celje
2014-06-17,24.1,Celje
2014-06-18,29.3,Celje
2014-06-19,25.9,Celje
2014-06-20,19.8,Celje
2014-06-21,12.6,Celje
2014-06-22,17.9,Celje
2014-06-23,29.2,Celje
2014-06-24,10.2,Celje
2014-06-25,7.7,Celje
2014-06-26,13.1,Celje
2014-06-27,22.4,Celje
2014-06-28,20,Celje
2014-06-29,17.7,Celje
2014-06-30,6.2,Celje
2014-07-01,13.6,Celje
2014-07-02,18.8,Celje
2014-07-03,12.8,Celje
2014-07-04,18.8,Celje
2014-07-05,27.6,Celje
2014-07-06,17.4,Celje
2014-07-07,25.3,Celje
2014-07-08,12.3,Celje
2014-07-09,6.8,Celje
2014-07-10,7,Celje
2014-07-11,14.3,Celje
2014-07-12,12.5,Celje
2014-07-13,12.9,Celje
2014-07-14,13,Celje
2014-07-15,18.5,Celje
2014-07-16,23.9,Celje
2014-07-17,22,Celje
2014-07-18,24.1,Celje
2014-07-19,30.3,Celje
2014-07-20,22.6,Celje
2014-07-21,22.2,Celje
2014-07-22,18.8,Celje
2014-07-23,11.9,Celje
2014-07-24,20.2,Celje
2014-07-25,25.9,Celje
2014-07-26,19.1,Celje
2014-07-27,13.8,Celje
2014-07-28,17.6,Celje
2014-07-29,18.6,Celje
2014-07-30,12.2,Celje
2014-07-31,16.9,Celje
2014-08-01,15.1,Celje
2014-08-02,22.3,Celje
2014-08-03,17.6,Celje
2014-08-04,23.9,Celje
2014-08-05,7.8,Celje
2014-08-06,12.8,Celje
2014-08-07,18.1,Celje
2014-08-08,21.3,Celje
2014-08-09,21.5,Celje
2014-08-10,13.7,Celje
2014-08-11,24.4,Celje
2014-08-12,5.4,Celje
2014-08-13,22,Celje
2014-08-14,0.6,Celje
2014-08-15,10.4,Celje
2014-08-16,9.4,Celje
2014-08-17,8.8,Celje
2014-08-18,15.8,Celje
2014-08-19,21,Celje
2014-08-20,17.6,Celje
2014-08-21,9,Celje
2014-08-22,19.3,Celje
2014-08-23,14.6,Celje
2014-08-24,7.2,Celje
2014-08-25,11.5,Celje
2014-08-26,21.6,Celje
2014-08-27,10,Celje
2014-08-28,14.7,Celje
2014-08-29,21.8,Celje
2014-08-30,25.7,Celje
2014-08-31,28.3,Celje
2014-09-01,2.3,Celje
2014-09-02,8.6,Celje
2014-09-03,19.5,Celje
2014-09-04,35.2,Celje
2014-09-05,36.1,Celje
2014-09-06,18.9,Celje
2014-09-07,25.2,Celje
2014-09-08,30,Celje
2014-09-09,25.3,Celje
2014-09-10,17.8,Celje
2014-09-11,14.4,Celje
2014-09-12,14.3,Celje
2014-09-13,7.1,Celje
2014-09-14,10.7,Celje
2014-09-15,16.8,Celje
2014-09-16,15.5,Celje
2014-09-17,22.6,Celje
2014-09-18,35.8,Celje
2014-09-19,30.7,Celje
2014-09-20,19.4,Celje
2014-09-21,8.8,Celje
2014-09-22,11.5,Celje
2014-09-23,18.3,Celje
2014-09-24,23.2,Celje
2014-09-25,22.5,Celje
2014-09-26,22,Celje
